alphamissense_cutoff,endpoint,n_variants_used,model_name,auc
0.9,reaches_wt_current,47,alphamissense_only,0.7333333333333333
0.9,reaches_wt_current,47,rescue_priority_only,0.6761904761904762
0.9,reaches_wt_current,47,structural_only,0.30476190476190473
0.9,responsive_any,48,alphamissense_only,1.0
0.9,responsive_any,48,structural_only,1.0
0.9,responsive_any,48,rescue_priority_only,1.0
0.9,responsive_current50,48,alphamissense_only,0.8629629629629629
0.9,responsive_current50,48,structural_only,0.7925925925925926
0.9,responsive_current50,48,rescue_priority_only,0.7111111111111111
0.95,reaches_wt_current,47,alphamissense_only,0.7333333333333333
0.95,reaches_wt_current,47,rescue_priority_only,0.6761904761904762
0.95,reaches_wt_current,47,structural_only,0.30476190476190473
0.95,responsive_current50,47,alphamissense_only,0.7944444444444445
0.95,responsive_current50,47,structural_only,0.6888888888888889
0.95,responsive_current50,47,rescue_priority_only,0.5666666666666667
0.98,reaches_wt_current,45,rescue_priority_only,0.8492063492063493
0.98,reaches_wt_current,45,alphamissense_only,0.5555555555555556
0.98,reaches_wt_current,45,structural_only,0.3650793650793651
0.98,responsive_current50,45,alphamissense_only,0.8313953488372093
0.98,responsive_current50,45,structural_only,0.6744186046511628
0.98,responsive_current50,45,rescue_priority_only,0.5465116279069767
0.99,reaches_wt_current,37,rescue_priority_only,0.7714285714285714
0.99,reaches_wt_current,37,structural_only,0.4285714285714286
0.99,reaches_wt_current,37,alphamissense_only,0.4
0.99,responsive_current50,37,alphamissense_only,0.9305555555555556
0.99,responsive_current50,37,structural_only,0.6388888888888888
0.99,responsive_current50,37,rescue_priority_only,0.4722222222222222
