score_model,endpoint,n_variants,spearman_rho,spearman_p_value,median_endpoint_value
structural,hetero_retig_current_rel_wt,53,-0.4626673117239155,0.00048635777730761696,2.445843599666512
structural,hetero_baseline_current_rel_wt,65,-0.528715034965035,5.973479187822506e-06,0.6823438543497511
structural,homo_baseline_current_rel_wt,65,-0.6375874125874126,1.119636566312207e-08,0.34498845712552595
structural,retig_fold_change_vs_variant,53,0.0362844702467344,0.7964524436714839,3.7371352107311377
structural,heteromeric_gain_over_homo,53,0.5208030962747944,6.390004880858454e-05,9.430517454990433
structural,heteromeric_gain_over_hetero_baseline,53,0.09313014029995162,0.5071548133082298,4.240724977248218
priority,hetero_retig_current_rel_wt,53,-0.2485083051120787,0.07276666425818527,2.445843599666512
priority,hetero_baseline_current_rel_wt,65,-0.32250874125874124,0.008790121003790268,0.6823438543497511
priority,homo_baseline_current_rel_wt,65,-0.5971153846153846,1.5185669111715074e-07,0.34498845712552595
priority,retig_fold_change_vs_variant,53,-0.047169811320754707,0.7373235955518702,3.7371352107311377
priority,heteromeric_gain_over_homo,53,0.6275600709562974,4.927928285582816e-07,9.430517454990433
priority,heteromeric_gain_over_hetero_baseline,53,0.05233026931140138,0.7097879131437248,4.240724977248218
