endpoint,model_name,score_column,n_variants_used,spearman_rho,spearman_p_value
hetero_retig_current_rel_wt,alphamissense_only,alphamissense_score,53,0.07548082793821079,0.5911482144974577
hetero_retig_current_rel_wt,am_x_tractability,am_x_tractability,53,0.03987340497111079,0.7768137892623034
hetero_retig_current_rel_wt,revel_x_tractability,revel_x_tractability,47,-0.027638844823377102,0.8536877452299559
hetero_retig_current_rel_wt,revel_only,revel_score,47,-0.0880677720481207,0.5560961073648281
hetero_retig_current_rel_wt,rescue_priority_only,rescue_priority_score,53,-0.2485083051120787,0.07276666425818527
heteromeric_gain_over_hetero_baseline,revel_only,revel_score,47,0.15323676685982918,0.3037904087477246
heteromeric_gain_over_hetero_baseline,revel_x_tractability,revel_x_tractability,47,0.09789239390371848,0.5127124676803543
heteromeric_gain_over_hetero_baseline,rescue_priority_only,rescue_priority_score,53,0.05233026931140138,0.7097879131437248
heteromeric_gain_over_hetero_baseline,alphamissense_only,alphamissense_score,53,0.04576428403304981,0.7448820856623904
heteromeric_gain_over_hetero_baseline,am_x_tractability,am_x_tractability,53,-0.05886266052358114,0.6754561055934347
heteromeric_gain_over_homo,rescue_priority_only,rescue_priority_score,53,0.6275600709562974,4.927928285582816e-07
heteromeric_gain_over_homo,revel_x_tractability,revel_x_tractability,47,0.5515048157434536,5.871623543895187e-05
heteromeric_gain_over_homo,am_x_tractability,am_x_tractability,53,0.4657004052793738,0.0004413191150467139
heteromeric_gain_over_homo,revel_only,revel_score,47,0.2768092086633971,0.05961937075673356
heteromeric_gain_over_homo,alphamissense_only,alphamissense_score,53,0.1861215287194343,0.18208307668999338
