weight_name,delta,path_weight,pocket_weight,region_weight,rarity_weight,top10_overlap_with_base,membership_changed
path,-0.2,0.2553191489361702,0.3723404255319149,0.26595744680851063,0.10638297872340427,9,2
path,-0.1,0.27835051546391754,0.36082474226804123,0.2577319587628866,0.10309278350515465,9,2
path,0.1,0.32038834951456313,0.3398058252427184,0.24271844660194175,0.0970873786407767,9,2
path,0.2,0.33962264150943394,0.330188679245283,0.23584905660377356,0.09433962264150944,9,2
pocket,-0.2,0.3225806451612903,0.3010752688172043,0.2688172043010753,0.10752688172043012,9,2
pocket,-0.1,0.31088082901554404,0.32642487046632124,0.2590673575129534,0.10362694300518135,9,2
pocket,0.1,0.28985507246376807,0.37198067632850235,0.24154589371980673,0.0966183574879227,9,2
pocket,0.2,0.2803738317757009,0.3925233644859813,0.2336448598130841,0.09345794392523364,9,2
region,-0.2,0.31578947368421056,0.368421052631579,0.21052631578947373,0.10526315789473686,10,0
region,-0.1,0.3076923076923077,0.358974358974359,0.2307692307692308,0.10256410256410259,10,0
region,0.1,0.29268292682926833,0.34146341463414637,0.26829268292682934,0.09756097560975611,10,0
region,0.2,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.09523809523809523,10,0
rarity,-0.2,0.30612244897959184,0.35714285714285715,0.25510204081632654,0.08163265306122451,10,0
rarity,-0.1,0.30303030303030304,0.35353535353535354,0.25252525252525254,0.09090909090909093,10,0
rarity,0.1,0.297029702970297,0.3465346534653465,0.24752475247524752,0.10891089108910892,10,0
rarity,0.2,0.29411764705882354,0.34313725490196073,0.24509803921568626,0.11764705882352941,10,0
